"SYMBOL","TRADING_SIGNAL","TECHNICAL_SCORE","CONFIDENCE_SCORE","SIMULATED_RETURN","RISK_ADJUSTED_RETURN","RISK_PERFORMANCE"
"CREDITACC","STRONG_BUY",81.3,0.9252,0.27756,1.58787185354691,"Excellent"
"COMSYN","STRONG_BUY",80.7,0.8328,0.24984,0.93502994011976,"Excellent"
"AARVI","BUY",75.3,0.9012,0.18024,0.906639839034205,"Excellent"
"BOSCHLTD","BUY",74.7,0.8988,0.17976,0.893439363817098,"Excellent"
"ASHAPURMIN","BUY",73.3,0.8932,0.17864,0.863829787234043,"Excellent"
"ASIANENE","BUY",72.7,0.8908,0.17816,0.851625239005736,"Excellent"
"DEEPINDS","BUY",70.7,0.8828,0.17656,0.812891344383057,"Excellent"
"CARTRADE","BUY",70,0.88,0.176,0.8,"Excellent"
"AJAXENGG","BUY",70,0.88,0.176,0.8,"Excellent"
"BAJAJCON","BUY",69.3,0.8772,0.17544,0.787432675044883,"Excellent"
"GODFRYPHLP","BUY",68.7,0.8748,0.17496,0.776909413854352,"Excellent"
"BLACKBUCK","BUY",68.7,0.8748,0.17496,0.776909413854352,"Excellent"
"NAVA","BUY",67.3,0.8692,0.17384,0.753206239168111,"Excellent"
"GARUDA","BUY",67.3,0.8692,0.17384,0.753206239168111,"Excellent"
"DATAMATICS","BUY",66.7,0.8668,0.17336,0.743396226415094,"Excellent"
"ANANDRATHI","BUY",66.7,0.8668,0.17336,0.743396226415094,"Excellent"
"BALAJEE","BUY",78.7,0.8248,0.16496,0.599418604651163,"Excellent"
"ATHERENERG","BUY",72.7,0.8008,0.16016,0.535294117647059,"Excellent"
"CHOICEIN","BUY",72.7,0.8008,0.16016,0.535294117647059,"Excellent"
"ARVINDFASN","BUY",71.3,0.7952,0.15904,0.521784776902887,"Excellent"
